Timestamp,Temp(C),Humidity(%),TVOC(ppb),eCO2(ppm),PM1,PM2.5,PM10
2025-10-21 00-00-00,23.7,81,1688,1278,1,4,6
2025-10-21 00-00-10,23.7,81,1672,1270,0,4,4
2025-10-21 00-00-20,23.7,81,1653,1292,1,5,5
2025-10-21 00-00-30,23.7,81,1665,1286,1,3,4
2025-10-21 00-00-40,23.7,81,1704,1293,0,2,3
2025-10-21 00-00-50,23.7,81,1736,1328,1,4,5
2025-10-21 00-01-00,23.7,81,1866,1327,1,2,5
2025-10-21 00-01-10,23.7,81,1826,1301,1,2,4
2025-10-21 00-01-20,23.7,81,1850,1295,1,4,5
2025-10-21 00-01-30,23.7,81,1790,1298,1,4,4
2025-10-21 00-01-40,23.7,81,1833,1316,1,4,5
2025-10-21 00-01-50,23.7,81,1850,1331,1,4,4
2025-10-21 00-02-00,23.7,81,1845,1334,1,5,6
2025-10-21 00-02-10,23.7,81,1820,1295,1,4,4
2025-10-21 00-02-20,23.7,81,1799,1289,0,4,4
2025-10-21 00-02-30,23.7,81,1750,1270,1,4,4
2025-10-21 00-02-40,23.7,81,1683,1289,1,5,6
2025-10-21 00-02-50,23.7,81,1736,1297,1,4,6
2025-10-21 00-03-00,23.7,81,1736,1315,0,3,5
2025-10-21 00-03-10,23.7,81,1803,1341,1,4,7
2025-10-21 00-03-20,23.7,81,1829,1316,1,4,6
2025-10-21 00-03-30,23.7,81,1776,1281,0,3,4
2025-10-21 00-03-40,23.7,81,1799,1298,1,3,5
2025-10-21 00-03-50,23.7,81,1776,1304,0,2,3
2025-10-21 00-04-00,23.7,81,1778,1324,1,4,5
2025-10-21 00-04-10,23.7,81,1836,1316,1,4,5
2025-10-21 00-04-20,23.7,82,1822,1346,0,3,4
2025-10-21 00-04-30,23.7,82,1914,1366,1,4,4
2025-10-21 00-04-40,23.7,81,1866,1301,0,3,4
2025-10-21 00-04-50,23.7,81,1829,1307,1,4,5
2025-10-21 00-05-00,23.7,81,1813,1291,1,3,5
2025-10-21 00-05-10,23.7,81,1713,1278,0,3,5
2025-10-21 00-05-20,23.7,81,1713,1285,1,4,5
2025-10-21 00-05-30,23.7,81,1743,1300,1,4,4
2025-10-21 00-05-40,23.7,81,1776,1307,0,3,3
2025-10-21 00-05-50,23.7,81,1785,1306,0,3,3
2025-10-21 00-06-00,23.7,81,1769,1292,0,4,5
2025-10-21 00-06-10,23.7,81,1766,1314,1,3,5
2025-10-21 00-06-20,23.7,82,1836,1346,1,3,4
2025-10-21 00-06-30,23.7,82,1810,1347,1,3,4
2025-10-21 00-06-40,23.7,82,1875,1336,2,4,5
2025-10-21 00-06-50,23.7,81,1854,1297,1,2,4
2025-10-21 00-07-00,23.7,81,1836,1313,2,4,5
2025-10-21 00-07-10,23.7,81,1836,1317,1,2,3
2025-10-21 00-07-20,23.7,81,1753,1277,2,4,5
2025-10-21 00-07-30,23.7,81,1718,1276,2,5,5
2025-10-21 00-07-40,23.7,81,1679,1306,3,4,4
2025-10-21 00-07-50,23.7,81,1746,1305,3,4,4
2025-10-21 00-08-00,23.8,81,1699,1276,1,5,5
2025-10-21 00-08-10,23.7,81,1665,1281,2,5,5
2025-10-21 00-08-20,23.8,81,1663,1298,1,3,5
2025-10-21 00-08-30,23.7,81,1688,1285,2,3,5
2025-10-21 00-08-40,23.7,81,1642,1282,1,3,4
2025-10-21 00-08-50,23.7,81,1649,1307,1,3,3
2025-10-21 00-09-00,23.7,81,1649,1276,2,4,5
2025-10-21 00-09-10,23.7,81,1658,1277,1,4,4
2025-10-21 00-09-20,23.7,81,1584,1256,1,3,3
2025-10-21 00-09-30,23.7,81,1526,1252,1,3,3
2025-10-21 00-09-40,23.7,81,1503,1243,1,3,3
2025-10-21 00-09-50,23.7,81,1439,1208,2,3,4
2025-10-21 00-10-00,23.7,81,1469,1260,2,3,4
2025-10-21 00-10-10,23.7,81,1459,1232,2,3,3
2025-10-21 00-10-20,23.7,81,1429,1263,1,3,4
2025-10-21 00-10-30,23.7,81,1420,1203,1,4,4
2025-10-21 00-10-40,23.7,81,1330,1211,1,4,4
2025-10-21 00-10-50,23.7,81,1335,1231,1,4,4
2025-10-21 00-11-00,23.7,81,1379,1237,1,3,3
2025-10-21 00-11-10,23.7,81,1392,1249,1,3,3
2025-10-21 00-11-20,23.7,81,1392,1248,2,4,4
2025-10-21 00-11-30,23.7,81,1388,1281,1,3,3
2025-10-21 00-11-40,23.7,81,1478,1295,1,3,3
2025-10-21 00-11-50,23.7,81,1575,1308,2,4,5
2025-10-21 00-12-00,23.7,81,1651,1302,1,3,3
2025-10-21 00-12-10,23.7,81,1683,1302,2,4,4
2025-10-21 00-12-20,23.7,81,1656,1276,2,4,4
2025-10-21 00-12-30,23.7,81,1540,1269,2,4,4
2025-10-21 00-12-40,23.7,81,1593,1285,1,4,4
2025-10-21 00-12-50,23.7,81,1612,1296,1,3,4
2025-10-21 00-13-00,23.7,81,1545,1231,1,4,5
2025-10-21 00-13-10,23.7,81,1462,1225,0,2,3
2025-10-21 00-13-20,23.7,81,1434,1236,1,4,4
2025-10-21 00-13-30,23.7,81,1379,1257,0,1,3
2025-10-21 00-13-40,23.7,81,1420,1270,0,2,3
2025-10-21 00-13-50,23.7,81,1473,1274,1,3,4
2025-10-21 00-14-00,23.7,81,1427,1228,1,4,4
2025-10-21 00-14-10,23.7,81,1388,1239,1,3,3
2025-10-21 00-14-20,23.7,81,1436,1272,1,4,4
2025-10-21 00-14-30,23.7,81,1464,1269,1,3,4
2025-10-21 00-14-40,23.7,81,1466,1253,1,3,4
2025-10-21 00-14-50,23.7,81,1464,1284,2,4,6
2025-10-21 00-15-00,23.7,81,1536,1310,2,4,5
2025-10-21 00-15-10,23.7,81,1561,1288,2,4,4
2025-10-21 00-15-20,23.7,81,1593,1304,2,4,4
2025-10-21 00-15-30,23.7,81,1596,1297,1,3,3
2025-10-21 00-15-40,23.7,81,1600,1299,0,3,4
2025-10-21 00-15-50,23.7,81,1603,1289,1,4,4
2025-10-21 00-16-00,23.7,81,1637,1308,0,3,3
2025-10-21 00-16-10,23.7,81,1609,1295,0,3,4
2025-10-21 00-16-20,23.7,81,1653,1297,0,3,3
2025-10-21 00-16-30,23.7,81,1579,1281,0,3,3
2025-10-21 00-16-40,23.7,81,1547,1282,1,4,4
2025-10-21 00-16-50,23.7,81,1545,1255,1,3,4
2025-10-21 00-17-00,23.7,81,1524,1268,1,3,4
2025-10-21 00-17-10,23.7,81,1540,1296,0,2,4
2025-10-21 00-17-20,23.7,81,1568,1314,1,2,3
2025-10-21 00-17-30,23.7,81,1598,1298,0,1,2
2025-10-21 00-17-40,23.7,81,1619,1297,1,4,4
2025-10-21 00-17-50,23.7,81,1651,1320,1,4,4
2025-10-21 00-18-00,23.7,81,1799,1350,0,4,5
2025-10-21 00-18-10,23.7,81,1727,1309,3,4,4
2025-10-21 00-18-20,23.7,81,1693,1318,1,2,3
2025-10-21 00-18-30,23.7,81,1711,1310,2,3,4
2025-10-21 00-18-40,23.7,81,1639,1281,2,3,4
2025-10-21 00-18-50,23.7,81,1651,1313,1,2,3
2025-10-21 00-19-00,23.7,81,1612,1282,1,3,3
2025-10-21 00-19-10,23.7,81,1619,1304,1,3,3
2025-10-21 00-19-20,23.7,81,1605,1294,1,4,6
2025-10-21 00-19-30,23.7,81,1612,1324,0,4,5
2025-10-21 00-19-40,23.7,81,1603,1294,1,4,4
2025-10-21 00-19-50,23.7,81,1522,1276,1,3,4
2025-10-21 00-20-00,23.7,81,1503,1263,0,2,2
2025-10-21 00-20-10,23.7,81,1508,1279,0,2,3
2025-10-21 00-20-20,23.7,81,1542,1306,0,2,4
2025-10-21 00-20-30,23.7,81,1593,1289,1,4,5
2025-10-21 00-20-40,23.7,81,1559,1285,0,2,2
2025-10-21 00-20-50,23.7,81,1593,1305,0,1,1
2025-10-21 00-21-00,23.7,81,1586,1304,1,2,2
2025-10-21 00-21-10,23.7,81,1603,1295,1,3,3
2025-10-21 00-21-20,23.7,81,1549,1275,1,3,4
2025-10-21 00-21-30,23.7,81,1545,1267,1,2,3
2025-10-21 00-21-40,23.7,81,1554,1282,1,1,3
2025-10-21 00-21-50,23.7,81,1517,1276,1,1,3
2025-10-21 00-22-00,23.7,81,1494,1253,1,1,3
2025-10-21 00-22-10,23.7,81,1418,1244,2,3,5
2025-10-21 00-22-20,23.7,81,1425,1243,2,3,5
2025-10-21 00-22-30,23.7,81,1434,1273,0,3,5
2025-10-21 00-22-40,23.7,81,1464,1296,1,3,4
2025-10-21 00-22-50,23.7,81,1519,1297,1,3,3
2025-10-21 00-23-00,23.7,81,1586,1295,0,2,3
2025-10-21 00-23-10,23.7,81,1531,1264,1,4,4
2025-10-21 00-23-20,23.7,81,1462,1262,1,4,4
2025-10-21 00-23-30,23.7,81,1471,1293,0,3,3
2025-10-21 00-23-40,23.7,81,1466,1275,1,3,3
2025-10-21 00-23-50,23.7,81,1529,1280,1,3,3
2025-10-21 00-24-00,23.7,81,1566,1326,1,4,4
2025-10-21 00-24-10,23.7,81,1621,1313,1,4,5
2025-10-21 00-24-20,23.7,81,1621,1311,1,3,3
2025-10-21 00-24-30,23.7,81,1584,1306,1,3,4
2025-10-21 00-24-40,23.7,81,1605,1304,1,3,3
2025-10-21 00-24-50,23.7,81,1586,1328,0,3,4
2025-10-21 00-25-00,23.7,82,1649,1338,2,4,5
2025-10-21 00-25-10,23.7,82,1748,1339,2,3,4
2025-10-21 00-25-20,23.7,81,1676,1313,2,3,4
2025-10-21 00-25-30,23.7,81,1612,1281,1,2,3
2025-10-21 00-25-40,23.7,81,1529,1260,1,2,4
2025-10-21 00-25-50,23.7,81,1542,1291,2,3,5
2025-10-21 00-26-00,23.7,81,1492,1299,2,4,5
2025-10-21 00-26-10,23.7,81,1596,1295,2,3,4
2025-10-21 00-26-20,23.7,81,1519,1273,0,2,3
2025-10-21 00-26-30,23.7,81,1566,1314,1,3,4
2025-10-21 00-26-40,23.7,81,1489,1272,1,4,4
2025-10-21 00-26-50,23.7,81,1471,1253,0,3,3
2025-10-21 00-27-00,23.7,81,1462,1272,0,2,5
2025-10-21 00-27-10,23.7,81,1512,1325,1,4,5
2025-10-21 00-27-20,23.7,81,1510,1311,1,4,5
2025-10-21 00-27-30,23.7,81,1487,1265,1,5,5
2025-10-21 00-27-40,23.7,81,1531,1283,0,3,3
2025-10-21 00-27-50,23.7,81,1524,1297,0,3,3
2025-10-21 00-28-00,23.7,81,1538,1285,1,4,5
2025-10-21 00-28-10,23.7,81,1517,1281,0,3,4
2025-10-21 00-28-20,23.7,81,1563,1340,0,2,2
